"Action","Aktion"
"Fidelity points by fixed amount for whole cart","Treuepunkte nach fixem Betrag für gesamten Warenkorb"
"Fidelity points by percentage of the original price","Treuepunkte als Prozentsatz des Originalpreises"
"Fidelity points:","Treuepunkte:"
"filterLabel","Spalte filtern :"
"First name","Vorname"
"First name:","Vorname:"
"gift","Geschenk"
"Gift exchange enabled","Geschenkaustausch aktiviert"
"Gifts","Geschenke"
"Godson","Freund"
"Godson ID","ID Freund"
"Godson name","Name des Freundes"
"Guest first name","Vorname Gast"
"Guest last name","Nachname Gast"
"Guest mail","E-Mail Gast"
"Guest name","Name des Gastes"
"IBAN","IBAN"
"ID","ID"
"Import Contacts","Kontakte importieren"
"Import selected contacts","Ausgewählte Kontakte importieren"
"Inactivity time before removal of the sponsorship link (days)","Inaktivitätszeitraum vor Entfernung des Freundeswerbungs-Links (Tage)"
"Invalid IBAN code ""%s""","Der IBAN ""%s"" ist ungültig"
"Invitation detail","Datum der Einladung"
"Invitation does not exist","Diese Einladung existiert nicht."
"Invitation information","Informationen zur Einladung"
"Invitation to %s","Einladung %s"
"Invitation was successfully saved","Die Einladung wurde erfolgreich gespeichert"
"Invitations list","Einladungsliste"
"Last name","Name"
"Last name:","Name:"
"Last order date","Datum der letzten Bestellung"
"Listing date","Datum der Eintragung"
"loading","Laden"
"Login failed. Please check the email and password you have provided and try again later !","Ihre Anmeldung schlug fehl. Bitte überprüfen Sie E-Mail und Passwort und versuchen Sie es erneut."
"Max invitations","Maximale Einladungsanzahl"
"Maximum amount permitted without company number","Maximale Einladungsanzahl ohne Firmennummer"
"Maximum levels of sponsorship","Maximale Anzahl an Freundeswerbungsschichten (Levels)"
"Message","Nachricht"
"Module","Modul"
"Number of sponsorships","Anzahl der Freundeswerbungen"
"Once you will have points, you can change them into:","Nach dem Erhalt von Punkten können Sie diese eintauschen gegen:"
"Open inviter providers","OpenInviter Anbieter"
"Or add recipient manually.","Oder fügen Sie manuell Empfänger hinzu"
"paginationFirst","Erste"
"paginationLast","Letzte"
"paginationNext","Nächste"
"paginationOf"," von "
"paginationPages","Seite(n)"
"paginationPrev","Vorige"
"Password missing !","Das Passwort fehlt."
"Please check the form fields.","Bitte überprüfen Sie die Formularfelder."
"Please enter the full email, not just the username","Bitte geben Sie die vollständige E-Mail-Adresse an (nicht nur den Benutzernamen)"
"Please select changes","Bitte wählen Sie die Einlösung"
"Points","Punkte"
"Points exchanges list","Liste der Punkteeinlösungen"
"Points to exchange:","Einzulösende Punkte:"
"Principles of Sponsorship","Regeln der Freundeswerbung"
"Provider detail","Anbieterinformationen"
"Provider missing !","Der Anbieter fehlt!"
"Provider was successfully deleted","Der Anbieter wurde erfolgreich gelöscht."
"Provider was successfully saved","Der Anbieter wurde erfolgreich gespeichert."
"Ratio applied from level 2 to calculate the points of the sponsor (in percentage)","Verhältnis ab Stufe 2 für Berechnung der Werbungspunkte (in Prozent)"
"Recall","Erinnnerung"
"Recall %s %s","Erinnerung von %s %s"
"Recipients:","Empfänger:"
"Recovery date","Datum der Erinnerung"
"Related ID","ID Werbender"
"Related mail","E-Mail Werbender"
"Related name","Name des Werbenden"
"Remove Recipient","Empfänger entfernen"
"searchLabel","Suche"
"Select recipients from your address book:","Wählen Sie Empfänger aus Ihrem Adressbuch:"
"Select recipients from your address book.","Wählen Sie Empfänger aus Ihrem Adressbuch:"
"Select your provider and sign in:","Wählen Sie Ihren Anbieter und melden Sie sich an:"
"Send email","E-Mail senden"
"Social Networks","Soziale Netzwerke"
"Solved","Gelöst"
"Special Rate","Besondere Rate"
"Sponsor","Werbender"
"sponsor","Werbender"
"Sponsor friends","Geworbene Freunde"
"Sponsor ID","ID Werbender"
"Sponsorship","Freundeswerbung"
"Sponsorship balance:","Stand Freundeswerbungen:"
"Sponsorship coupon","Gutschein aus Freundeswerbung"
"Sponsorship date","Datum der Freundeswerbung"
"Sponsorship detail","Details Freundeswerbung"
"Sponsorship information","Informationen zur Freundeswerbung"
"Sponsorship invitation","Einladung der Freundeswerbung"
"Sponsorship mail options","Mail-Optionen Freundeswerbung"
"Sponsorship module activated","Freundeswerbungsmodul aktiviert"
"Sponsorship options","Optionen der Freundeswerbung"
"Sponsorship points","Punkte aus Freundeswerbung"
"Sponsorship points by fixed amount","Punkte aus Freundeswerbung nach fixem Betrag"
"Sponsorship points by fixed amount for whole cart","Punkte aus Freundeswerbung nach festem Betrag für gesamten Warenkorb"
"Sponsorship points by percentage of the original price","Punkte aus Freundeswerbung als Prozentsatz des Originalpreises"
"Sponsorship points:","Punkte aus Freundeswerbung"
"Sponsorship was successfully saved","Die Freundeswerbung wurde erfolgreich gespeichert"
"Sponsorships list","List der Freundeswerbungen"
"Status","Stuats"
"Subject:","Betreff:"
"The change has been successfully recorded","Die Einlösung wurde erfolgreich erfasst"
"The exchange of %s points in %s is disabled.","Die Einlösung von %s Punkten in %s ist deaktiviert."
"The gifts exchange is not yet implemented.","Die Geschenkseinlösung ist noch nicht implementiert."
"This change doesn't exist","Diese Einlösung existiert nicht."
"This sponsorship doesn't exist","Diese Freundeswerbung existiert nicht."
"Time to send it automatically (days)","Zeit vor automatischem Versand (Tage)"
"Time validity invitations (days)","Zeit der Gültigkeit von Einladungen (Tage)"
"To change more cash, you must specify a company number.","Für die Einlösung höherer Beträge benötigen Sie eine Firmennummer."
"To change your points into cash, you must indicate your IBAN.","Um Ihre Punkte barabzulösen, benötigen Sie eine IBAN."
"Type","Typ"
"Unable to find change to save","Kein Einlösung zur Speicherung gefunden."
"Unable to find invitation to save","Keine Einladung zur Speicherung gefunden."
"Unable to find sponsorship to save","Keine Freundeswerbung zur Speicherung gefunden."
"Unable to get contacts !","Konnte Kontakte nicht abrufen."
"Update status","Status ändern"
"Use of your fidelity points","Treuepunkte einlösen"
"Use of your sponsorship points","Punkte aus Freundeswerbung einlösen"
"Validate","Prüfen"
"Value","Wert"
"Voucher exchange enabled","Gutscheineinlösung aktiviert"
"Voucher exchange mail options","Gutscheineinlösung Mail-Optionen"
"Vouchers","Gutscheine"
"Vouchers:","Gutscheine:"
"Waiting","Wartend"
"Winning","Gewonnene Punkte"
"You do not have active godson.","Sie haben keine aktiven Freundeswerbungen."
"You do not have as many points.","Sie haben nicht genügend Punkte."
"You do not have yet send invit.","Sie haben noch keine Einladung versandt."
"You have %d points.","Sie verfügen über %d Punkte."
"You must already have purchased to sponsor.","Um Freunde werben zu können, müssen Sie selbst bereits bestellt haben."
"You should visit this website. It offers interesting products.","Sie sollten diese Website besuchen, sie bietet eine interessante Auswahl."
"Your email has been successfully sent.","Ihr Mail wurde erfolgreich versandt."
"Your godsons","Ihre Freundeswerbungen"
"Your invitations","Ihre Einladungen"
"Your lastest orders","Ihre letzten Bestellungen"
"Your login:","Ihre Benutzername:"
"Your mail has not been sent, please try again later.","Ihre Mail konnte nicht versandt werden. Bitte versuchen Sie es später erneut."
"Your message","Ihre Nachricht"
"Your message will be preceded by:","Der Einleitungstext Ihrer Nachricht:"
"Your message will ends as follows:","Der Schlussteil Ihrer Nachricht:"
"Your message:","Ihre Nachricht:"
"Your points exchanges:","Ihre Punkteeinlösungen:"
"Your request has been submitted, you will soon receive an email confirmation.","Ihre Anfrage wurde entgegengenommen, Sie erhalten in Kürze eine Bestätigung per E-Mail."
