"%s was added to your shopping cart.","%s a été ajouté à votre panier."
"Forgot an Item?","Vous avez oublié un article ?"
"Forgot your password?","Mot de passe oublié ?"
"Get a Quote","Obtenir une estimation"
"Grand Total:","Montant global :"
"Grouped Product Image","Image de produit groupé"
"HTML","HTML"
"ID","ID"
"Incl. Tax","TTC"
"Invalid method: %s","Méthode invalide : %s"
"Item not found or already ordered","Produit non trouvé ou déjà commandé"
"Items","Articles"
"Load customer quote error","Erreur lors du chargement du panier client"
"Loading next step...","Chargement en cours de l'étape suivante..."
"Login","Se connecter"
"Manage Checkout Terms and Conditions","Gérer les conditions générales de ventes"
"Maximum Display Recently Added Item(s)","Nombre maxi d'articles récemment ajoutés à afficher"
"Maximum qty allowed for Shipping to multiple addresses is %s","La quantité maxi autorisée pour la livraison à plusieurs adresses est %s"
"Move to Wishlist","Ajouter à la <br/>liste d'envies"
"Multishipping Checkout","Commande à livraisons multiples"
"Multishipping Checkout Address (Any) Form","Formulaire de commande à livraisons multiples"
"Multishipping Checkout Billing Address Creation","Création d\'adresse de facturation pour la commande à livraisons multiples"
"Multishipping Checkout Billing Address Edit Form","Formulaire de modification d\'adresse de facturation pour la commande à livraisons multiples"
"Multishipping Checkout Billing Address Selection","Sélection d\'adresse de facturation pour la commande à livraisons multiples"
"Multishipping Checkout Billing Information Step","Étape d\'informations de facturation pour la commande à livraisons multiples"
"Multishipping Checkout Customer Address Edit Form","Formulaire de modification d\'adresse client pour la commande à livraisons multiples"
"Multishipping Checkout Overview","Aperçu de commande à livraisons multiples"
"Multishipping Checkout Shipping Address Creation","Création d\'adresse de livraison pour la commande à livraisons multiples"
"Multishipping Checkout Shipping Address Edit Form","Formulaire de modification d\'adresse de livraison pour la commande à livraisons multiples"
"Multishipping Checkout Shipping Address Selection","Sélection d\'adresse de livraison pour la commande à livraisons multiples"
"Multishipping Checkout Shipping Information Step","Étape d\'informations de livraison pour la commande à livraisons multiples"
"Multishipping Checkout Success","Commande à livraisons multiples réussie"
"My Cart","Mon panier"
"My Cart (%s item)","Mon panier (%s article)"
"My Cart (%s items)","Mon panier (%s articles)"
"My Cart Link","Lien vers mon panier"
"New Address","Nouvelle adresse"
"New Condition","Nouvelle condition"
"One Page Checkout","Passage de commande en une seule page"
"One Page Checkout Failure","Échec du passage de commande en une seule page"
"One Page Checkout Success","Réussite du passage de commande en une seule page"
"Order #","N° de commande"
"Order Review","Vérification de commande"
"Order Success","Confirmation"
"Other Items in Your Order","Autres articles dans votre commande"
"Password","Mot de passe"
"Payment Failed Email Reciever","Destinataire du mail d'erreur de paiement"
"Payment Failed Email Sender","Expéditeur du mail d'erreur de paiement"
"Payment Failed Emails","Emails d'erreur de paiement"
"Payment Failed Template","Gabarit d'erreur de paiement"
"Payment Information","Informations de paiement"
"Payment Method","Mode de paiement"
"Payment Methods After Checkout Button","Bouton de modes de paiement de fin de commande"
"Payment Methods Before Checkout Button","Bouton de modes de paiement de début de commande"
"Payment method is not defined","Le mode de paiement n'est pas défini"
"Payment profile # %s: ""%s"".","Profil de paiement n°%s : ""%s""."
"Place Order","Validation"
"Please agree to all Terms and Conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Please agree to all Terms and Conditions before placing the orders.","Veuillez accepter les conditions générales de ventes avant de valider les commandes."
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Please log in below:","Veuillez vous identifier :"
"Please select region, state or province","Sélectionnez une région"
"Please select shipping address for applicable items","Choisissez une adresse de livraison pour chaque article"
"Please select shipping methods for all addresses","Sélectionnez les modes de livraison pour toutes les adresses"
"Price","Prix"
"Proceed to Checkout","Commander"
"Product","Produit"
"Product Name","Nom du produit"
"Qty","Qté"
"Quote Lifetime (days)","Durée de vie du panier (en jours)"
"Recently added item(s)","Derniers articles ajoutés"
"Register","S'enregistrer"
"Register and save time!","Gagnez du temps !"
"Register to Create an Account","Enregistrez-vous pour créer un compte"
"Register with us for future convenience:","Enregistrez-vous et profitez de nombreux avantages :"
"Remove Item","Supprimer l'article"
"Remove This Item","Supprimer le filtre"
"Remove item","Supprimer l'article"
"Review Order","Vérifier la commande"
"Review Order - %s","Vérifier la commande - %s"
"Sales","Ventes"
"Save Condition","Sauvegarder la condition"
"Save in address book","Enregistrer dans le carnet d'adresses"
"Select Address","Sélectionner une adresse"
"Select Addresses","Choix des adresses"
"Select Shipping Method","Sélectionner le mode de livraison"
"Select State/Province...","Choisissez une région"
"Select a billing address from your address book or enter a new address.","Vos adresses"
"Select a shipping address from your address book or enter a new address.","Choisissez une adresse de livraison dans votre carnet d'adresses ou saisissez une <a href=""#"" onclick=""shipping.newAddress(true); return false;"">nouvelle adresse</a>."
"Send Payment Failed Email Copy Method","Envoyer une copie du mail d'erreur de paiement en utilisant la méthode"
"Send Payment Failed Email Copy To","Envoyer une copie du mail d'erreur de paiement à"
"Send To","Envoyer à"
"Separate by "","".","Séparé par des virgules."
"Ship to Multiple Addresses","Livrer à plusieurs adresses"
"Ship to different address","Livrer à une autre adresse"
"Ship to this address","Livrer à cette adresse"
"Shipping Address","Adresse de livraison"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Shipping Methods","Modes de livraison"
"Shipping To","Livraison à"
"Shipping method has not been selected yet","Le mode de livraison n'a pas encore été choisi"
"Shipping selection is not applicable.","Le choix de livraison n'est pas applicable."
"Shopping Cart","Panier"
"Shopping Cart Form Before","Formulaire Panier Précédent"
"Shopping Cart Sidebar","Barre latérale du panier"
"Shopping Cart is Empty","Le panier est vide"
"Show Content as","Afficher le contenu comme"
"Some of the requested products are not available in the desired quantity.","Certains produits ne sont plus disponibles dans les quantités demandées."
"Some of the requested products are unavailable.","Certains produits demandés ne sont plus disponibles."
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'existe pour cette commande pour l'instant"
"State/Province","État/Région"
"Status","Statut"
"Store View","Vue magasin"
"Street Address","Rue - Voie - Bât."
"Street Address %s","Rue - Voie – Bât. %s"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Subtotal","Sous-total"
"Telephone","Téléphone"
"Terms and Conditions","Conditions générales de ventes"
"Terms and Conditions Information","Informations de conditions générales de ventes"
"Terms and conditions","Conditions générales de ventes"
"Text","Texte"
"Thank you for your purchase!","Merci de votre achat !"
"The condition has been deleted","La condition a été supprimée."
"The condition has been saved.","La condition a été sauvegardée."
"The onepage checkout is disabled.","Le passage de commande en une seule page est désactivé."
"The product could not be found.","Le produit n'a pas été trouvé."
"The product does not exist.","Le produit n'existe pas."
"There are <a href=""%s"">%s items</a> in your cart.","Il y a <a href=""%s"">%s articles</a> dans votre panier."
"There is <a href=""%s"">1 item</a> in your cart.","Il y a <a href=""%s""><strong>1 article</strong></a> dans votre panier."
"There was an error processing your order. Please contact us or try again later.","Erreur lors du traitement de votre commande, veuillez réessayer plus tard."
"This condition no longer exists.","Cette condition n'existe plus."
"Total","Total"
"Total for this address","Total pour cette adresse"
"Unable to set Payment Method.","Impossible de choisir ce mode de paiement."
"Unit Price","Prix unitaire"
"Update Qty &amp; Addresses","Mettre à jour les quantités et adresses"
"Update Shopping Cart","Mettre à jour le panier"
"Update Total","Mettre à jour le total"
"Use Billing Address","Utiliser l'adresse de facturation"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Votre commande est en cours de traitement et vous recevrez bientôt un mail avec les détails de la commande. Quand la commande sera expédiée, vous recevrez un autre mail avec un lien pour suivre l'avancement de la livraison."
"You have no items in your shopping cart.","Votre panier est vide."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous allez recevoir un mail de confirmation avec les détails de votre commande ainsi qu'un lien pour suivre son avancement."
"Your Checkout Progress","Avancement de votre commande"
"Your billing agreement # is: %s.","Votre n° d'accord de facturation est : %s."
"Your order # is: %s.","Votre n° de commande est : %s."
"Your order has been received","Votre commande a bien été prise en compte"
"Your order number is ","Votre numéro de commande est"
"Your recurring payment profiles:","Vos profils de paiement périodiques :"
"Zip/Postal Code","Code postal"
"osCommerce Orders","Commandes osCommerce"


"* Required Fields","* Champs obligatoires"
"A new password has been sent.","Un nouveau mot de passe a été envoyé."
"ALL GROUPS","TOUS LES GROUPES"
"Account Dashboard","Tableau de bord du compte"
"Account Information","Informations du compte"
"Account Sharing Options","Options de partage de compte"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Vous devez confirmer la création de compte. Pour ce faire, un email vous a été envoyé contenant le lien de confirmation. Si vous ne l'avez pas reçu, vérifiez votre filtre anti spam ou <a href=""%s"">cliquez ici</a> pour envoyer l'email à nouveau."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Une confirmation de création de compte est nécessaire. Vérifiez votre boîte mail et cliquez sur le lien de confirmation qui vous a été envoyé. Pour envoyer de nouveau l'email de confirmation, <a href=""%s"">cliquez ici</a>"
"Action","Action"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Customer","Ajouter un nouveau client"
"Add New Customer Group","Ajouter un nouveau groupe de clients"
"Added From","Ajouté depuis"
"Additional Address Entries","Saisies d'adresses supplémentaires"
"Address","Adresse"
"Address Book","Carnet d'adresses"
"Address Books","Carnets d'adresses"
"Address Information","Informations d'adresse"
"Addresses","Adresses"
"Admin","Admin"
"All","Tout"
"All Store Views","Toutes les vues magasin"
"All countries","Tous les pays"
"Always optional.","Toujours optionnel."
"Amount","Montant"
"An error occurred while deleting the address.","Erreur lors de la suppression de l'adresse."
"An error occurred while retrieving the option value: %s.","Erreur lors de la récupération de la valeur d'option : %s."
"An error occurred while saving the collection, aborting. Error: %s","Erreur lors de la sauvegarde de la collection. Erreur : %s."
"An invalid option ID is specified for %s (%s), skipping the record.","Identifiant d'option invalide pour %s (%s), ligne ignorée."
"Approved","Approuvé"
"Are you sure that you want to remove this item?","Êtes-vous sûr de vouloir retirer cet article ?"
"Are you sure you want to cancel adding of this address?","Êtes-vous sûr de vouloir annuler l'ajout de cette adresse ?"
"Are you sure you want to delete this address?","Êtes-vous sûr de vouloir effacer cette adresse ?"
"Are you sure?","Êtes-vous sûr ?"
"Array of Entity collections is expected.","Tableau de collections d'entités attendu."
"Assign a Customer Group","Assigner un groupe clients"
"Average Sale","Ventes moyennes"
"Back","Retour"
"Back - link to the previously viewed page","Retour - Lien vers la dernière page visitée"
"Back to Login","Retour à l'identification"
"Bad request.","Non trouvé."
"Bill to Name","Nom (Fact.)"
"Bought From","Acheté sur"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte sur notre boutique, vous pourrez passer vos commandes plus rapidement, enregistrer plusieurs adresses de livraison, consulter et suivre vos commandes, et plein d'autres choses encore."
"CSV","CSV"
"Cancel","Annuler"
"Cannot save address.","Impossible de sauvegarder l'adresse."
"Cannot save the address.","Impossible de sauvegarder l'adresse."
"Cannot save the customer.","Impossible de sauvegarder le client."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Impossible de partager les comptes clients globalement car il existe des comptes avec le même emails sur plusieurs sites web qui ne peuvent pas être fusionnés."
"Change Account Password","Modifier le mot de passe du compte"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Password","Modifier le mot de passe"
"Change Shipping Address","Modifier l'adresse de livraison"
"City","Ville"
"Company","Société"
"Config","Configuration"
"Confirm New Password","Confirmer le mot de passe"
"Confirm Password","Confirmer le mot de passe"
"Confirmation Link Email","Email de lien de confirmation"
"Confirmed","Confirmé"
"Contact Information","Informations de contact"
"Continue Shopping","Continuer vos achats"
"Country","Pays"
"Create","Créer"
"Create New Account Options","Options de création de nouveaux comptes"
"Create New Customer Account","Créer un nouveau compte client"
"Create Order","Créer une commande"
"Create an Account","Créer un compte"
"Create customer","Créer un client"
"Create customer address","Créer une adresse"
"Current Password","Mot de passe actuel"
"Customer","Client"
"Customer Account Edit Form","Formulaire de modification de compte client"
"Customer Account Login Form","Formulaire de connexion au compte client"
"Customer Account Logout Success","Réussite de la déconnexion du compte client"
"Customer Account Registration Form","Formulaire d\'enregistrement de compte client"
"Customer Addresses","Adresses client"
"Customer Api","API client"
"Customer Configuration","Configuration client"
"Customer Forgot Password Form","Formulaire d\'oubli de mot de passe client"
"Customer Group","Groupe de clients"
"Customer Groups","Groupes clients"
"Customer Information","Informations client"
"Customer Login","Identifiant client"
"Customer My Account (All Pages)","Client Mon Compte (toutes les pages)"
"Customer My Account Address Book","Carnet d\'adresses"
"Customer My Account Address Edit Form","Formulaire de modification d\'adresse"
"Customer My Account Dashboard","Client Mon Compte Tableau de bord"
"Customer Since","Client depuis le"
"Customer View","Vue client"
"Customer collection expected.","Collection de clients attendue."
"Customer email is required.","L'email du client est obligatoire."
"Customer website ID must be specified when using the website scope.","L'identifiant du site web du client doit être renseigné lorsque la portée du site web est utilisée."
"Customer will stay on the current page if ""No"" is selected.","Le client restera sur la page en cours si ""Non"" est sélectionné."
"Customers","Clients"
"Customers Only","Clients seulement"
"Customers Section","Section client"
"DD","JJ"
"Date","Date"
"Date Added","Date d'ajout"
"Date of Birth","Date de naissance"
"Day","Jour"
"Days in Wishlist","Jours dans la liste d'envies"
"Default Addresses","Adresses par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Default Email Domain","Domaine de mail par défaut"
"Default Group","Groupe par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Default Welcome Email","Email d'accueil par défaut"
"Delete","Supprimer"
"Delete Address","Effacer l'adresse"
"Delete Customer","Supprimer le client"
"Delete Customer Group","Supprimer le groupe de clients"
"Delete customer","Supprimer le client"
"Delete customer address","Supprimer l'adresse du client"
"Deleted Stores","Magasins effacés"
"Details","Détails"
"Disabled","Désactivé"
"Edit","Éditer"
"Edit Account Info","Éditer les informations du compte"
"Edit Account Information","Éditer les informations du compte"
"Edit Address","Éditer l'adresse"
"Edit Address Entry","Éditer la saisie d'adresse"
"Edit Customer Group ""%s""","Éditer le groupe clients ""%s"""
"Edit Customer Groups","Éditer les groupes de client"
"Edit Customer's Address","Éditer l'adresse du client"
"Edit Group","Éditer le groupe"
"Edit Newsletters","Éditer les newsletters"
"Email","Email"
"Email Address","Adresse email"
"Email Sender","Expéditeur du mail"
"Email:","Email :"
"Entity collection is expected.","Une collection d'entités est attendue."
"Failed to confirm customer account.","Impossible de confirmer le compte client"
"Fax","Fax"
"First Name","Prénom"
"Forgot Email Sender","Expéditeur du mail d'oubli"
"Forgot Email Template","Gabarit du mail d'oubli"
"Forgot Your Password?","Mot de passe oublié ?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Depuis le tableau de bord 'Mon compte', vous pouvez avoir un aperçu de vos récentes activités et mettre à jour les informations de votre compte. Sélectionnez un lien ci-dessous pour voir ou modifier les informations."
"Gender","Sexe"
"General Subscription","Je m'abonne"
"Generate Human-Friendly Customer ID","Générer un ID client facile à lire"
"Global","Global"
"Grand Total","Montant global"
"Group","Groupe"
"Group Information","Informations du groupe"
"Group Name","Nom de groupe"
"Guest","Invité"
"HTML","HTML"
"Hello, %s!","Bonjour, %s !"
"ID","ID"
"IP Address","Adresse IP"
"If you have an account with us, please log in.","Si vous avez déjà un compte, veuillez vous identifier."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","L'option d'attribut est invalide pour %s (%s), ligne ignorée."
"Invalid attribute set specified, skipping the record.","Jeu d'attributs invalide, ligne ignorée."
"Invalid current password","Mot de passe actuel non valide"
"Invalid customer data","Données client non valides"
"Invalid email address.","Email invalide."
"Invalid login or password.","Identifiant ou mot de passe invalide."
"Invalid store specified, skipping the record.","Magasin invalide, ligne ignorée."
"Last Activity","Dernière activité"
"Last Date Subscribed","Date de dernière inscription"
"Last Date Unsubscribed","Date de dernière désinscription"
"Last Name","Nom"
"Last URL","Dernière URL"
"Leave empty for default (15 minutes).","Laisser vide pour utiliser la valeur par défaut (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Laisser vide pour utiliser la valeur par défaut (2). Éventail autorisé : 1-4"
"Lifetime Sales","Total des ventes"
"Log In","Connexion"
"Log Out","Déconnexion"
"Login","Se connecter"
"Login Information","Information de connexion"
"Login Options","Options de connexion"
"Login and password are required.","L'identifiant et le mot de passe sont obligatoires."
"Login or Create an Account","Identifiez-vous ou créez un compte"
"M.I.","Deuxième prénom"
"MM","MM"
"Manage Addresses","Gérer les adresses"
"Manage Customers","Gérer les clients"
"Missing email, skipping the record.","Email manquant, ligne ignorée."
"Missing firstname, skipping the record.","Prénom manquant, ligne igorée."
"Missing lastname, skipping the record.","Nom de famille manquant, ligne igorée."
"Month","Mois"
"My Account","Mon compte"
"My Dashboard","Mon tableau de bord"
"My Orders","Mes commandes"
"Name","Nom"
"Name and Address Options","Options de nom et d'adresse"
"Never","Jamais"
"New Address","Nouvelle adresse"
"New Address Entry","Saisie d'une nouvelle adresse"
"New Customer","Nouveau client"
"New Customer Address","Nouvelle adresse client"
"New Customer Group","Nouveau groupe de clients"
"New Customer Groups","Nouveaux groupes de clients"
"New Customers","Nouveaux clients"
"New Group","Nouveau groupe"
"New Password","Nouveau mot de passe"
"New account","Nouveau compte"
"New account confirmation key","Nouvelle clé de confirmation de compte"
"New account confirmed","Nouveau compte confirmé"
"New password","Nouveau mot de passe"
"Newsletter","Newsletter"
"Newsletter Finish","Fin de la newsletter"
"Newsletter Information","Informations newsletter"
"Newsletter Received","Newsletter reçue"
"Newsletter Start","Début de la newsletter"
"Newsletter Subscription","Inscription à la newsletter"
"Newsletters","Newsletters"
"No Items Found","Aucun article trouvé"
"No Newsletter Found","Pas de newsletter"
"No customer collections found","Aucune collection de client trouvée"
"No item specified.","Aucun article spécifié."
"Not Sent","Pas envoyé"
"Not confirmed, can login","Non confirmé, connexion possible."
"Not confirmed, cannot login","Non confirmé, connexion impossible."
"Number of Lines in a Street Address ","Nombre de lignes dans l'adresse"
"Offline","Déconnecté"
"Online","En ligne"
"Online Customers","Clients en ligne"
"Online Customers Options","Options des clients en ligne"
"Online Minutes Interval","Intervalle en minutes"
"Order #","N° de commande"
"Order Total","Total de la commande"
"Orders","Commandes"
"PDF","PDF"
"Password","Mot de passe"
"Password Management","Gestion du mot de passe"
"Password Options","Options de mot de passe"
"Password forgotten","Mot de passe oublié"
"Password:","Mot de passe :"
"Paused","Arrêté"
"Pending","En attente"
"Per Website","Par site web"
"Personal Information","Informations personnelles"
"Please enter your email below and we will send you a new password.","Entrez votre email ci-dessous et nous vous enverrons un nouveau mot de passe."
"Please enter your email below and we\'ll send you confirmation link for it.","Entrez votre email ci-dessous et nous vous enverrons un lien de confirmation."
"Please enter your email.","Saisissez votre email."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select","Sélectionnez"
"Please select region, state or province","Sélectionnez un département / état"
"Please, check your email for confirmation key.","Consultez vos emails pour obtenir la clé de confirmation."
"Prefix","Préfixe"
"Prefix Dropdown Options","Options de la liste déroulante des préfixes"
"Price","Prix"
"Product","Produit"
"Product ID","ID de produit"
"Product Name","Nom du produit"
"Product Reviews","Commentaires"
"Product Tags","Tags du produit"
"Product name","Nom du produit"
"Purchase On","Commande passée le"
"Purchased At","Commandé sur"
"Qty","Qté"
"Recent Orders","Commandes récentes"
"Records for %s store found.","Des enregistrements ont été trouvés pour le magasin %s"
"Redirect Customer to Account Dashboard after Logging in","Rediriger les clients vers leur tableau de bord après connexion"
"Refunded","Remboursé"
"Registered Customers","Clients enregistrés"
"Remove","Supprimer"
"Require Emails Confirmation","Nécessite la confirmation par email"
"Retrieve address data","Récupérer les données d'adresse"
"Retrieve address info","Récupérer les informations d'adresse"
"Retrieve customer addresses","Récupérer les adresses du client"
"Retrieve customer data","Récupérer les données du client"
"Retrieve customer groups","Récupérer les groupes de client"
"Retrieve customer info","Récupérer les informations de client"
"Retrieve customers","Récupérer les clients"
"Retrieve your confirmation link here","Récupérez votre lien de confirmation ici"
"Retrieve your password here","Récupérez votre mot de passe ici"
"SKU","Réf."
"Sales Statistics","Statistiques de ventes"
"Save","Sauvegarder"
"Save Address","Sauvegarder l'adresse"
"Save Customer","Sauvegarder le client"
"Save Customer Group","Sauvegarder le groupe clients"
"Save Password","Sauvegarder le mot de passe"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Saved %d record(s)","%d enregistrement(s) sauvegardé(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valeurs séparées par des points-virgules (;).<br/>Commencer par un point-virgule pour une valeur vide en début d'options.<br/>Laisser vide pour un champ texte libre."
"Send From","Envoyé de"
"Send Welcome Email","Envoyer un email de bienvenue"
"Send Welcome Email after Confirmation","Envoyer un mail de bienvenue après la confirmation"
"Send auto-generated password","Envoyer un mot de passe généré automatiquement"
"Send confirmation link","Envoyer un lien de confirmation"
"Sending","Envoi en cours"
"Sent","Envoyé"
"Session Start Time","Début de session"
"Set as Default Billing Address","Définir comme adresse de facturation par défaut"
"Set as Default Shipping Address","Définir comme adresse de livraison par défaut"
"Share Customer Accounts","Partager les comptes client"
"Shipped to First Name","Prénom (Livr.)"
"Shipped to Last Name","Nom de famille (Livr.)"
"Shipped to Name","Nom (Livr.)"
"Shopping Cart","Panier"
"Shopping Cart - %d item(s)","Panier - %d article(s)"
"Show Date of Birth","Afficher la date de naissance"
"Show Gender","Afficher le genre"
"Show Middle Name (initial)","Afficher les initiales"
"Show Prefix","Afficher le préfixe"
"Show Suffix","Afficher le suffixe"
"Show Tax/VAT Number","Afficher le numéro de TVA intracommunautaire"
"Sign Up for Newsletter","Abonnez-vous à la newsletter"
"Skipping import row, required field ""%s"" is not defined.","Ligne ignorée, le champ obligatoire ""%s"" n'est pas défini."
"Skipping import row, website ""%s"" field does not exist.","Ligne ignorée, le champ ""%s"" du site web n'est pas défini."
"State/Province","Département/État"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Street Address","Rue - Voie - Bât."
"Street Address","Rue - Voie - Bât."
"Street Address %s","Rue - Voie – Bât. %s"
"Subject","Sujet"
"Submit","Valider"
"Subscribe to Newsletter","S'abonner à la newsletter"
"Subscribed to Newsletter?","Abonné à la newsletter ?"
"Suffix","Suffixe"
"Suffix Dropdown Options","Options de la liste déroulante des suffixes"
"Tag Name","Nom du tag"
"Tax Class","Classe de TVA"
"Tax/VAT number","Numéro de TVA intracommunautaire"
"Telephone","Téléphone"
"Text","Texte"
"Text One Line","Texte sur une ligne"
"Thank you for registering with %s.","Merci de votre inscription sur %s."
"The account information has been saved.","Les informations du compte ont été sauvegardées."
"The address does not belong to this customer.","L'adresse n'appartient pas à ce client."
"The address has been deleted.","L'adresse a été supprimée."
"The address has been saved.","L'adresse a été sauvegardée."
"The customer does not have default billing address.","Le client n'a pas d'adresse de facturation par défaut."
