"%s","%s"
"%s already exists","%s existe déjà"
"%s already exists.","%s existe déjà."
"-- Please Select --","-- Votre choix --"
"Leave empty for access from any location.","Laissez vide si vous souhaitez y accéder depuis n'importe où."
"Locale","Profil local"
"Locale Options","Options de localisation"
"Log Settings","Paramètres de log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Log depuis Mage::log(). Le fichier se trouve dans {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Log depuis Mage::logException(). Le fichier se trouve dans {{base_dir}}/var/log"
"Login is Case Sensitive","L'identifiant utilisateur est sensible à la casse"
"Logo Image Alt","Texte alternatif du logo"
"Logo Image Src","Source du logo"
"Mail Sending Settings","Paramètres d'envoi des emails"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assurez-vous que l'URL se termine par un '/' (slash), par ex. http://votredomains/magento/"
"Manage Stores","Gérer les magasins"
"Match expressions in the same order as displayed in the configuration.","Faire coïncider les expressions dans l'ordre d'affichage de la configuration."
"Maximum length exceeded.","Dépassement de la longueur maximum"
"Merge CSS Files (beta)","Fusionner les fichiers CSS (beta)"
"Merge JavaScript Files","Fusionner les fichiers javascript"
"Miscellaneous HTML","Code HTML divers"
"Miscellaneous Scripts","Scripts divers"
"Model class does not exist: %s.","La classe modèle n'existe pas : %s."
"Model collection resource name is not defined.","Le nom de ressource de collection n'est pas défini."
"Module ""%1$s"" cannot depend on ""%2$s"".","Le module ""%1$s"" ne peut pas dépendre de ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Le module ""%1$s"" nécessite le module ""%2$s""."
"Name","Nom"
"New Design Change","Nouveau changement d'habillage"
"New Store","Nouveau magasin"
"New Store View","Nouvelle vue magasin"
"New Website","Nouveau site web"
"No","Non"
"Package","Interface"
"Pagination","Pagination"
"Pagination Frame","Trame de Pagination"
"Pagination Frame Skip","Taille de la trame de pagination"
"Please choose to register or to checkout as a guest","Choisissez de vous enregistrer ou de passer votre commande en tant qu'invité"
"Please define flag code.","Veuillez définir un code de drapeau."
"Please enter 6 or more characters.","Veuillez saisir au moins 6 caractères."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Veuillez saisir au moins 6 caractères. Les espaces en début ou en fin de chaîne seront ignorés."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par exemple 100.00 €."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http://www.exemple.com ou www.exemple.com"
"Please enter a valid URL. http:// is required","Veuillez saisir une URL valide. Elle doit commencer par http://"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse email valide. Par exemple gerard.manvussat@domaine.com"
"Please enter a valid number in this field.","Veuillez saisir un nombre valide."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 92100."
"Please enter valid password.","Veuillez saisir un mot de passe valide."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%","Veuillez saisir une dimension CSS valide. Par exemple 100px ou 77pt ou 20em ou .5ex ou 50%"
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select State/Province.","Veuillez choisir un état/province."
"Please select an option.","Sélectionnez une option"
"Please select one of the above options.","Veuillez choisir une des options ci-dessus."
"Please select one of the options.","Veuillez choisir une des options."
"Please specify either a category or a product, or both.","Spécifiez une catégorie, un produit ou les deux."
"Please specify payment method.","Choisissez un mode de paiement."
"Please specify shipping method.","Choisissez un mode de livraison."
"Please use letters only (a-z or A-Z) in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z) dans ce champ."
"Please use letters only (a-z) in this field.","Veuillez utiliser uniquement des lettres (a-z) dans ce champ."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Seuls les chiffres sont autorisés dans ce champ. Évitez les espaces ou autres caractères tels que les points ou les virgules."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Utilisez uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des underscores (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez utiliser uniquement des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9), des espaces ou des dièses (#) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou underscore (_) dans ce champ, en commençant par une lettre."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser ce format de date : jj/mm/aaaa. Par exemple, 21/12/2012 pour le 21 Décembre 2012."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Polls","Sondages"
"Port (25)","Port (25)"
"Profiler","Profileur"
"Redirect to Base URL if requested URL doesn't match it","Rediriger vers l'URL de base si l'URL demandée est différente"
"Request Path for Specified Store","Chemin de requête pour le magasin spécifié"
"Requested invalid store ""%s""","Le magasin demandé ""%s"" n'est pas valide"
"Resource is not set.","La ressource n'est pas renseignée."
"Return-Path Email","Adresse email de réponse"
"Root Category","Catégorie racine"
"Sales Representative","Représentant des ventes"
"Save","Sauvegarder"
"Save Store","Sauvegarder le magasin"
"Save Store View","Sauvegarder la vue magasin"
"Save Website","Sauvegarder le site web"
"Search Engines Optimization","Optimisation pour les moteurs de recherche"
"Secure","Sécurisé"
"Security","Sécurité"
"Select Date","Sélectionner une date"
"Sender Email","Expéditeur de l'email"
"Sender Name","Nom de l'expéditeur"
"Services","Services"
"Session Cookie Management","Gestion des cookies de session"
"Session Lifetime (seconds)","Durée des sessions (secondes)"
"Session Validation Settings","Paramètres de validation de session"
"Set Return-Path","Renseigner le chemin de retour"
"Set as Default","Définir par défaut"
"Skin (Images / CSS)","Habillage (Images / CSS)"
"Sort Order","Ordre de tri"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","La date/heure spécifiée ""%1$s"" ne correspond pas au format ""%2$s"""
"Start date cannot be greater than end date.","La date de début doit être antérieure à la date de fin."
"Startup Page","Page de démarrage"
"Status","Statut"
"Store","Magasin"
"Store Contact Address","Adresse de Contact du magasin"
"Store Contact Information","Informations de Contact du magasin"
"Store Contact Telephone","Téléphone de Contact du magasin"
"Store Email Addresses","Adresses email du magasin"
"Store Information","Informations magasin"
"Store Name","Nom du magasin"
"Store View","Vue magasin"
"Store View Information","Information de vue magasin"
"Store View Name","Nom de vue magasin"
"Store view doesn't exist","La vue magasin n'existe pas"
"Store with the same code","Magasin avec le même code"
"System","Système"
"System Log File Name","Nom de fichier de logs système"
"Template Path Hints","Astuce chemin des gabarits"
"Template Variables","Variables de gabarit"
"Templates","Gabarits"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Le %s que vous avez saisi n'est pas valide. Veuillez vérifier qu'il respecte le format ""http://domaine.com/""."
"The model collection resource name is not defined.","Le nom de ressource de collection de modèle n'est pas défini."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Le code du magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"The store does not exist","Le magasin n'existe pas."
"The store has been deleted.","Le magasin a été supprimé."
"The store has been saved.","Le magasin a été sauvegardé."
"The store view has been deleted.","La vue magasin a été supprimée."
"The store view has been saved","La vue magasin a été sauvegardée."
"The template Name must not be empty.","Le nom du gabarit ne doit pas être vide."
"The website does not exist.","Le site web n'existe pas."
"The website has been deleted.","Le site web a été supprimé."
"The website has been saved.","Le site web a été sauvegardé."
"Themes","Thèmes"
"This category and all its child elements","Cette catégorie et tous ses descendants"
"This category and its child categories only","Cette catégorie et toutes ses sous-catégories"
"This category and its products only","Cette catégorie et ses produits seulement"
"This category only","Cette catégorie seulement"
"This date is a required value.","Cette date est obligatoire."
"This is a required field.","Ce champ est obligatoire."
"This store cannot be deleted.","Ce magasin ne peut pas être effacé."
"This store view cannot be deleted.","Cette vue magasin ne peut pas être effacée."
"This website cannot be deleted.","Ce site web ne peut pas être effacé."
"This will be displayed just before body closing tag.","Ceci sera affiché juste avant la balise de fermeture de body"
"This will be included before head closing tag in page HTML.","Ceci sera inclus juste avant la balise de fermeture de body"
"Timezone","Fuseau horaire"
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Translate Inline","Traduire en ligne"
"Translate cache should be disabled for both frontend and admin inline translations.","Le cache de traduction devrait être désactivé pour les traductions en ligne du front office ou du back office."
"Translations","Traductions"
"Unable to delete store view. Please, try again later.","Impossible de supprimer la vue magasin. Veuillez réessayer ultérieurement."
"Unable to delete store. Please, try again later.","Impossible de supprimer le magasin. Veuillez réessayer ultérieurement."
"Unable to delete website. Please, try again later.","Impossible de supprimer le site web. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again.","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unknown scope ""%s"".","Portée inconnue ""%s""."
"Unsecure","Non sécurisé"
"Url Options","Options d'URL"
"Use Custom Admin URL","Utiliser une URL d'admin personnalisée"
"Use HTTP Only","Utiliser uniquement HTTP"
"Use SID on Frontend","Utiliser SID pour l'accès public"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées pour l'accès public"
"Use Web Server Rewrites","Utiliser les réécritures du serveur web"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Validation has failed.","La validation a échoué."
"Values less than 60 are ignored. Note that changes will apply after logout.","Les valeurs inférieures à 60 sont ignorées. Notez que ces changements prendront effet après déconnexion."
"Variable Code must be unique.","Le code de variable doit être unique"
"Web","Web"
"Website","Site web"
"Website Information","Informations site web"
"Website Name","Nom du site web"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Le code de site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"Website with the same code","Site web avec le même code"
"Weekend Days","Jours de weekend"
"Welcome Text","Texte de bienvenue"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Yes","Oui"
"Your design change for the specified store intersects with another one, please specify another date range.","Votre changement d'habillage pour le magasin spécifié interfère avec un autre. Spécifiez une autre tranche de dates."
"Your order cannot be completed at this time as there is no payment methods available for it.","Vous ne pouvez pas continuer votre commande car aucun mode de paiement n'est disponible."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Vous ne pouvez pas continuer votre commande car aucun mode de livraison n'est disponible pour votre adresse."
"Your session has been expired, you will be relogged in now.","Votre session a expiré, veuillez vous connecter à nouveau."
