"Store does not exist","Le magasin n'existe pas"
"You must complete your profile before posting","Complètes ton profil avant de poster"
"Easy","Facile"
"Medium","Moyen"
"Difficult","Difficile"
"Cheap","Bon marché"
"Medium","Moyen"
"Expensive","Assez cher"
"Element declared as an abuse","L'élément a été déclaré"
"You have already declared an abuse on this element","Tu as déjà déclaré un abus sur cet élément"
"Element deleted","Élément supprimé"
"Impossible to delete this element","Impossible de supprimer cet élément"
"Are you sure ?","Es-tu sûr?"
"Report abuse","Signaler un abus"
"Best rated","La mieux notée"
"Most popular","La plus populaire"
"Submit receipe","Ajouter la recette"
"Submit photo","Ajouter la photo"
"No file selected","Aucun fichier selectionné"
"Subscribed ","Abonné"
"Unsubscribed ","Désabonné"
"Subscribe ","S'abonner"
"Unsubscribe ","Se désabonner"
"%d persons","%d personnes"
"%d person","%d personne"
"%s product is not in stock","Le produit %s n'est plus en stock"
"This product cannot be added to your cart. Clubento member only can.","Ce produit ne peut être ajouté à votre panier. Seuls les membres apprenti, second ou chef du Clubento le peuvent."
"&laquo Back","&laquo Retour"
"* Required Fields ","* Champs obligatoires"
"Average cost","Budget moyen"
"Translate","Ajouter une traduction"
"Monbento wishes you a happy birthday","Monbento te souhaite un bon anniversaire"
"Delivery country and language","Pays de Livraison et langue"
"Close","Fermer"
"Delivery country","Pays de livraison"
"Your delivery country is %s and your language is %s","Ton pays de livraison est la %s et ta langue est le %s"
"Thank you note that your shopping cart will be emptied when you change country, and you will have to restart","Merci de noter que ton panier sera vidé lorsque tu changeras de Pays, et tu devras recommencer"
"Back","Retour"
"Visite website","Visiter le site"
"Edit","Modifier"
"Country not found","Pays introuvable"
"Select a language","Choisir une langue"
"follower","abonné"
"followers","abonnés"
"receipe","recette"
"recipes","recettes"
"Articles per page","Articles par page"
"Popular","Populaires"
"Add a photo","Ajouter une photo"
"Add a recipe","Ajouter une recette"
"Recipe name","Nom de la recette"
"Photo name","Nom de la photo"
"Categories","Catégories"
"Difficulty","Difficulté"
"Cost","Coût"
"Preparation time (in min)","Temps de la préparation (en min)"
"Cooking time (in min)","Temps de cuisson (en min)"
"List of ingredients (separate them with a line break)","Liste des ingrédients (Séparez-les par un saut de ligne)"
"Your recipe","Ta recette"
"Our recipes :","Nos recettes :"
"Number of people","Nombre de personnes"
"%s translation","Traduction en %s"
"comments","commentaires"
"comment","commentaire"
"Share","Partager"
"No elements found","Aucun élément n'a été trouvé"
"Receipe","Recette"
"receipe","recette"
"Required field","Champ obligatoire"
"Are you sure you want to delete this photo ?","Es-tu sûr de vouloir supprimer cette photo ?"
"Are you sure you want to delete this recipe ?","Es-tu sûr de vouloir supprimer cette recette ?"
"Yes","Oui"
"No","Non"
"Ingredients", "Ingrédients"
"Are you sure you want to report this recipe ?","Es-tu sûr de vouloir signaler cette recette ?"
"Are you sure you want to report this photo ?","Es-tu sûr de vouloir signaler cette photo ?"
"My Pépites","Mes Pépites"
"Your invitations","Mes invitations"
"Edit my profile","Modifier mon profil"

"Fidelity and sponsorship","Fidélité et Parrainage"
"Fidelity and Sponsorship (accumulated)","Fidélité et parrainage (accumulé)"
"Fidelity and Sponsorship (separated)","Fidélité et parrainage (séparé)"
"Fidelity and sponsorship points:  ","Points de fidelité et parrainage"

"Your reCAPTCHA entry is incorrect. Please try again.","Le captcha est incorrect, merci de reessayer"

"msg_after_guest_order","Vous avez passé votre commande en invité, terminez votre inscription en saisissant un mot de passe, un mail sera envoyé à l'adresse que vous avez saisi lors de la commande."

"FREE", "GRATUIT"
"VIEW", "VOIR"
"In Google Play", "Sur Google Play"
"On the App Store", "Sur App Store"
" (Out of area)", "Votre adresse de livraison se situe sur un lieu, dit « difficile d’accès » par notre transporteur. Par conséquent un supplément de 20€ HT a été ajouté sur votre tarif de livraison. Pour toute information supplémentaire, veuillez vous référer à la page livraison."
"Recipe","Recette"
"Code fiscal","Numéro fiscal"
