"Ajouter au panier","Dem Warenkorb hinzufügen"
"En créant monbento®, il a pu concrétiser son envie première : lancer sa propre collection de produits nomades et instaurer le design comme le fil rouge de toutes les réflexions ! Il la fait vivre au travers de produits novateurs marqués par son empreinte French design, synonyme de simplicité et d’élégance, replaçant toujours l’utilisateur au cœur des préoccupations.","Mit monbento® hat er seinen Traum verwirklichen können: eine eigene Kollektion mit Produkten für unterwegs herausbringen und konsequent designorientiert arbeiten! Er schafft eine lebendige Kollektion mit innovativen Produkten, die er mit seiner ganz persönlichen Note, dem French Design, Synonym für Schlichtheit und Eleganz, prägt. Benutzerfreundlichkeit ist eine Priorität für ihn."
"Les Ambassadeurs","Die Botschafter"
"Ils nous font confiance","SIE VERTRAUEN UNS"
"Vous souhaitez distribuer nos produits ?","Sie wollen unsere Produkte vertreiben?"
"Devenir revendeur","Einzelhändler werden"
"Trouvez nos produits près de chez vous","Unsere Produkte in Ihrer Nähe finden?"
"Trouver un revendeur","Einzelhändler finden"
"Le saviez-vous ?","Schon gewusst?"
"Le Bento<br>une solution<br>simple<br>pour","Das Bento<br>die einfache<br>Lösung<br>um"
"Mieux manger","besser zu essen"
"Faire des économies","zu sparen"
"Lutter contre le gaspillage alimentaire","Lebensmittelverschwendung zu bekämpfen"
"Protéger l'environnement","die Umwelt zu schützen"
"Cultiver sa différence","Sich von anderen unterscheiden"
"Pourquoi 1/3 des français apportent leur déjeuner au bureau ?","Warum bringen 1/3 aller Franzosen ihr Mittagessen mit ins Büro?"
"Pour le goût des aliments","Aus Geschmacksgründen"
"Pour la praticité","Aus praktischen Gründen"
"Pour les économies réalisées","Aus wirtschaftlichen Gründen"
"(Santé : Près d’un tiers des français apportent leur déjeuner au bureau)","(Gesundheit: etwa ein Drittel der Franzosen nehmen ihre Malhzeit im Büro mit)"
"Plus de","Mehr als"
"considèrent l'alimentation comme un plaisir et cuisinent tous les jours.","sehen die Ernährung als ein Vergnügen an und kochen täglich"
"des français apprécient de manger du fait-maison.","der Franzosen schätzen hausgemachte Kost"
"Simplifier son quotidien","Den Alltag vereinfachen"
"Le bento, non seulement pratique, mais économique","Das Bento, nicht nur praktisch, sondern auch wirtschaftlich"
"25<sup>min.</sup>","25<sup>Minuten.</sup>"
"C’est le temps  consacré à la pause déjeuner, par les Français.","Die durchschnittliche Dauer der Mittagspause eines Franzosen."
"1749<sup>€/an</sup>","1749 <sup>€/Jahr</sup>"
"Dépense moyenne des Français en restauration hors-domicile.","Die durchschnittlichen Ausgaben eines Franzosen für die Außerhausbewirtung"
"(Etude menée par le cabinet Gira Conseil en – 2014)","(Studie, die 2014 von Cabinet Gira Conseil geführt wurde)"
"3000<sup>€/an</sup>","3000 <sup>€/Jahr</sup>"
"C’est l’économie réalisée en déjeunant chaque jour sur son lieu de travail, avec son bento.","Die jährliche Ersparnis täglicher Mittagessen am Arbeitsplatz mit dem eigenen Bento."
"(étude menée en France par monbento)","(Studie, die von monbento in Frankreich geführt wurde)"
"des adultes français font un goûter entre 16h et 17h et <span>34% ont un petit creux en milieu de matinée.</span>","der französischen Erwachsenen nehmen zwischen 16 und 17 Uhr einen Imbiss zu sich, <span>34 % spüren am späten Morgen einen kleinen Hunger</span>"
"des enfants souhaiteraient avoir une boîte à goûter si on leur proposait.","der Kinder wünschen sich eine Snackbox, wenn ihnen eine angeboten wird"
"(Etude réalisée par l’IFOP pour l’ADEME en avril 2013 sur la Sensibilité des français de moins de 15 ans à la prévention des déchets.)","(Studie, die April 2013 von IFOP für ADEME geführt wurde.)"
"Prendre soin de soi et de son environnement","Die Umwelt schützen"
"des salariés se préoccupent quotidiennement d’avoir une alimentation équilibrée, et  <span>81% font attention à leur alimentation pour des raisons de santé.</span>"," der Beschäftigten sind täglich um eine ausgewogene Ernährung bemüht, <span>81 % achten aus Gesundheitsgründen auf ihre Ernährung.</span>"
"(Étude menée par Harris Interactive pour Malakoff Mederic – 2012)","(Studie, die 2012 von Harris Interactive für Malakoff Mederic geführt wurde.)"
"de la production alimentaire est gaspillée dans le monde chaque année.","1/3 der weltweit produzierten Jährlich werden Lebensmittel weggeworfen."
"(Etude réalisée par Toulouse métropole en partenariat avec le laboratoire de psychologie sociale de l'Université d'Aix-Marseille en 2015)","(Studie, die 2015 von Toulouse Métropole in Partnerschaft mit dem Sozialpsychologielabor der Universität von Aix-Marseille geführt wurde.)"
"230<sup>gr.</sup>","230<sup>g.</sup>"
"des restes de nourriture gaspillés au restaurant par personne.","Die durchschnittlich pro Person im Restaurant anfallenden Nahrungsreste."
"(Ministère de l'agriculture, de l'agroalimentaire et des forêts)","( Ministerium für Land- und Forstwirtschaft , Frankreich)"
"des établissements de restauration n'utilisant pas le doggy bag ont l'intention de le mettre en place.","der Gastronomiebetriebe, die keine Doggybag anbieten, planen dies für die Zukunft."
"de nourriture gaspillée en moins par les personnes qui utlisent un contenant (type bento) pour porter leur repas.","Personen, die einen Behälter (z.B. Bento) zum Transport Ihres Essens benutzen, werfen im Vergleich zu Personen, die Tabletts (z.B. in Cafeterien) benutzen, 32 % weniger Lebensmittel weg."
"En comparaison à ceux qui utilisent des plateaux  (type cafétérias), (Elizabeth, R.  (Mars 2016) Waste not, Want not. National Geographic.)","Im Vergleich zu diejenigen, die Tabletts benutzen (zB Kantine),  (Elizabeth, R. (März 2016) Waste not, Want not. National Geographic)"
"200 <sub>millions</sub>","200 <sub>Millionen.</sub>"
"C'est le nombre de bouteilles plastiques jetées chaque jour.","Die Nummer von Plastikflaschen, die jeden Tag weggeworfen sind."
"Entre 3 et 7 litres d'eau","Zwischen 3 und 7 Liter Wasser"
"Quantité moyenne d'eau nécessaire, pour fabriquer une bouteille en plastique jetable, d'un litre.","Die zur Herstellung einer 1 Liter-Einwegflasche aus Kunststoff erforderliche durchschnittliche Menge Wasser."
"(Arte, émission du 23 janvier 2016. Six usages insolites des bouteilles en plastique)","(Arte, Sendung von dem 23. Januar 2016 - Sechs ungewöhnliche Arten von Plastikflaschen)"
"About Us","Über uns"
"espace pro","Pro-Bereich"
"recettes & news","Rezepte & Aktualitäten"
"je m'abonne","Ich abonniere"
"Caractéristiques","Eigenschaften"
"Chargement en cours ...","Ladevorgang läuft..."
"Recevoir un email","Eine Email erhalten"
"dès que ce produit est disponible","wenn das Produkt wieder verfügbar ist"
"Ce produit a bien été ajouté à votre panier.","Dieses Produkt wurde erfolgreich in den Warenkorb gelegt."
"Poursuivre mes achats","Weiter shoppen"
"Accéder au panier","Den Warenkorb ansehen"
"Il ne manque que %s à votre panier<br>pour bénéficier des frais de port offerts (France métropolitaine)","Es fehlt noch %s Ihrem Warenkorb <br> um die freie Lieferung zu genießen!"
"À votre domicile","Zu Ihnen nach Hause"
"Dans un point relais","In einer Abholstation"
"Bonjour, %s!","Guten Tag, %s!"
"Depuis le tableau de bord 'Mon compte', vous pouvez avoir un aperçu de vos récentes activités et mettre à jour les informations de votre compte. Sélectionnez un lien ci-dessus pour voir ou modifier les informations.","Von Ihrer Benutzerkonto-Übersicht aus haben Sie die Möglichkeit, Ihre letzten Vorgänge einzusehen und Ihre Benutzerkonto-Daten zu bearbeiten. Wählen Sie dazu einen der untenstehenden Links, um Informationen anzusehen oder zu bearbeiten."
"Vous êtes déjà abonné à la newsletter !","Sie sind schon bei dem Newsletter angemeldet!"
"Aucun abonnement à la newsletter","Keine Anmeldung bei dem Newsletter"
"C'est pour offrir, joindre un message au colis (gratuit)","Ist es ein Geschenk? Kostenlose Nachricht hinzufügen"
"Suivez-nous","Folgen Sie uns"
"Ajout au panier en cours ...","Hinzufügung zum Warenkorb laüft..."
"Lire la suite","Weiterlesen"
"satisfait ou remboursé","Zufrieden oder Geld zurück"
"livraison à partir de %s","Lieferung ab %s"
"france métropolitaine","Deutschland"
"Paiement sécurisé","Sichere Zahlung"
"Après calcul des frais de port","Nach Berechnung der Portokosten"
"Avant calcul des frais de port","Vor Berechnung der Portokosten"
"You will be redirected to the PayPal website.","Sie werden auf die PayPal-Website weitergeleitet."
"TOTAL TTC :","Gesamtsumme inkl. MwSt:"
"Sous total :","Zwischensumme:"
"I have a gift certificate","Ich habe einen Geschenkgutschein"
"Enter code","Code eingeben"
"Et aussi ...","Und auch ..."
"France","Frankreich"
"Europe","Europa"
"USA","Vereinigten Staaten"
"Asie","Asien"
"J'ai déjà un compte","Ich habe schon einen Benutzerkonto"
"Prefix","Anrede"
"M","Herr"
"Mme","Frau"
"Mlle"," "
"Valider","Registrieren"
"(Elizabeth, R.  (Mars 2016) Waste not, Want not. National Geographic.)","(Arte (émission du 23 janvier 2016). Six usages insolites des bouteilles en plastique)"
"rupt. de stock","AUSVERKAUFT"
"Itinéraire","Route"
"Vous recherchez les magasins <br>à proximité du code postal...","Suchen Sie nach Geschäften <br> in der Nähe der Postleitzahl ..."
"Code postal","Postleitzahl"
"Recommencer","Wieder starten"
"Lancer un modèle aléatoire","Versuchen Sie die Zufällige Option"
"Télécharger","Download"
"Partager","Teilen"
"OFFERT","FREE"
"le best-seller signé monbento devient made in France !","der Bestseller mit der Unterschrift monbento wird Made in France!"
"Faire rimer « French design »<br>avec « Made in France »","Die harmonische Vereinigung von « French Design »<br>und « Made in France »"
"Après plusieurs années de recherche pour faire rimer French&nbsp;design avec Made in France, le challenge vient d’être relevé ! Le bento MB Original est désormais fabriqué avec passion au coeur même de notre région, l’Auvergne-Rhône-Alpes.","Nach mehreren Jahren intensiver Bemühungen wurde das Ziel erreicht, French&nbsp;Design mit Made in France zu vereinen! Die Bento MB Original wird jetzt mit Leidenschaft im Herzen unserer Region Auvergne-Rhône-Alpes hergestellt."
"Une production de proximité, un partenaire au savoir-faire français expert dans son secteur, la même matière haute qualité préservée : tout est réuni pour que chacune de nos pièces reflète l’excellence à la française.","Eine Produktion vor Ort, ein Partner mit französischem Know-How, ein Fachmann auf seinem Gebiet, die gleiche hochwertige Qualität: diese Kombination führt dazu, dass jedes unserer Produkte die französische Kompetenz wiederspiegelt."
"about.madeinfrance.lemot","Ein Wort von Fabien,<br/>Vorsitzender von monbento"
"« Produire en France était une volonté depuis la création de la société. Avec l’essor grandissant de monbento et son développement à l’international, nos volumes de production nous ont permis de reprendre les recherches de partenaires de fabrication locaux.","« Die Herstellung in Frankreich war seit der Gründung ein Ziel des Unternehmens. Die ständige Aufwärtsentwicklung von monbento und die internationale Entwicklung haben zu Produktionsmengen geführt die uns ermöglichen, lokale Partner für die Produktion suchen. "
"Nos exigences étaient nombreuses : préserver l’ADN de notre bento phare, gagner encore en qualité, maîtriser nos coûts de production… Le chemin a été long mais les efforts ont payé.","Unsere Ansprüche waren zahlreich: die ADN unseres Flaggschiffs Bento zu erhalten, die Qualität noch zu steigern, unsere Produktionskosten zu beherrschen... Es war ein langer Weg, aber er hat sich gelohnt."
"En parfait accord avec nos valeurs, nous sommes fiers aujourd’hui de pouvoir favoriser l’économie locale tout en réduisant notre empreinte carbone. Mais nous ne comptons pas nous en arrêter là : cette première collection Made in France signe le départ d’une nouvelle ère pour notre société ! »","In Übereinstimmung mit unseren Unternehmenswerten sind wir heute stolz, die lokale Wirtschaft zu bevorzugen und unseren CO²-Fußabdruck zu reduzieren. Aber wir werden hier nicht stillstehen: diese erste Kollektion Made in France ist der Einstieg in eine neue Ära unseres Unternehmens! » "
"Choisissez le vôtre !","Wählen Sie Ihren Favoriten!"
"Une petite sélection de nos bentos « Made in France »","Eine kleine Auswahl unserer in Frankreich hergestellten Bentos"
"Choisissez Votre lieu de livraison","Wählen Sie Ihren Lieferort"
"A proximité de quelle adresse souhaitez-vous être livré ?","In der Nähe welcher Adresse möchten Sie die Lieferung erhalten?"
"Champs obligatoires","Pflichtfelder"
"Adresse","Adresse"
"Commune","Postleitzahl"
"Modifier votre adresse","Ihre Adresse ändern"
"Affinez votre recherche par type de point de retrait","Erweitern Sie Ihre Suche nach Typ des Relay-Punktes"
"ma consigne cityssimo","Meine Cityssimo Pickup-Station"
"Espace Colis disponibles 7j/7 - 24h/24","Pickup-Stationen 24/7 verfügbar"
"bureaux de poste","Postfilialen"
"Horaires d’ouverture des bureaux de poste","Öffnungszeiten der Postfilialen"
"Relais Pickup ou Pickup Station","Relais Pickup oder Pickup Station"
"Commerces de proximité aux horaires étendus ou consignes automatiques","Geschäfte in der Nähe mit langen Öffnungszeiten oder Automaten"
"Informations complémentaires","Zusätzliche Informationen"
"Pour la livraison en bureau de poste, nous avons obligatoirement besoin d'un numéro de téléphone mobile pour vous informer de la disponibilité de votre colis. Merci de vérifier le numéro saisi ici :","Für die Lieferung zu einer Postfiliale ist die Angabe Ihrer Mobiltelefonnummer obligatorisch, um Sie über den Eingang Ihres Pakets informieren zu können. Bestätigen Sie bitte Ihre eingegebene Nummer hier:"
"Pour la livraison en consigne Cityssimo, nous avons obligatoirement besoin d'un numéro de téléphone mobile pour vous envoyer vos codes permettant le retrait de vos colis. Merci de vérifier le numéro saisi ici :","Für die Lieferung zu einer Cityssimo  Pickup-Station ist die Angabe Ihrer Mobiltelefonnummer obligatorisch, um Ihnen die Codes zur Entnahme Ihres Pakets schicken zu können. Bestätigen Sie bitte Ihre eingegebene Nummer hier:"
"Pour la livraison chez un commerçant, nous avons obligatoirement besoin d'un numéro de téléphone mobile pour vous informer de la disponibilité de votre colis. Merci de vérifier le numéro saisi ici :","Für die Lieferung zu einem Händler ist die Angabe Ihrer Mobiltelefonnummer obligatorisch, um Sie über den Eingang Ihres Pakets informieren zu können. Bestätigen Sie bitte Ihre eingegebene Nummer hier:"
"Pour la livraison sur rendez-vous, nous avons besoin d'un numéro de téléphone mobile pour vous contacter et définir le créneau de livraison souhaité. Merci de vérifier le numéro saisi ici :","Für die Lieferung auf Termin ist die Angabe Ihrer Mobiltelefonnummer obligatorisch, um Sie zu kontaktieren und das gewünschte Zeitfenster der Lieferung festzulegen. Bestätigen Sie bitte Ihre eingegebene Nummer hier:"
"Pour la livraison à domicile, nous avons besoin d'un numéro de téléphone mobile pour vous contacter. Merci de vérifier le numéro saisi ici :","Für die Lieferung an Haus benötigen wir eine Mobiltelefonnummer, um Sie zu kontaktieren Bitte prüfen Sie die eingegebene Nummer hier:"
"Commencer","Anfangen"
"Vous devez choisir l’ensemble des éléments du bento","Sie müssen für jedes Element Ihrer Bento Box eine Farbe wählen"
"Color","Farbe"
"Cancel","Stornieren"
"Modifier le modèle","Ändern die Vorlage"
"J'ai terminé","Ich habe beendet"
"Aide en ligne","Online-Hilfe"
"Vous n'avez pas trouvé de réponse à votre question ?","Sie haben keine Antwort auf Ihre Frage gefunden?"
"Un conseiller peut vous répondre <strong>par téléphone</strong>","Ein Kundenberater kann Ihnen <strong>telefonisch</strong> Auskunft erteilen"
"Lundi &gt; Vendredi / 9H&gt;12H / 14H&gt;17H <br> Heures locales","Montag – Freitag von 09:00 bis 12:00 Uhr und von 14:00 bis 17:00 Uhr <br> (Ortszeit)"
"Discutez avec un conseiller <strong>en direct</strong>","Mit einem Kundenberater <strong>online</strong> sprechen"
"Discuter en ligne","Online sprechen"
"Envoyez-nous votre question <strong>par e-mail</strong>","Schicken Sie uns Ihre Frage <strong>per E-Mail</strong>"
"une réponse vous sera communiquée <br>sous 24H (jours ouvrés)","Sie erhalten innerhalb <br>von 24 Stunden (werktags) eine Antwort"
"Questions récurrentes","Häufige Fragen"
"04 73 23 72 72","+334 73 23 72 72"
"Choose an object from the list","Wählen Sie ein Objekt aus der Liste"
"Order number","Bestellnummer"
"Please attach a photo","Bitte ein Foto anhängen"
"Your invoice","Ihre Rechnung"
"Please enter the following information: Your order number or your invoice","Bitte geben Sie folgende Informationen ein: Ihre Bestellnummer oder Ihre Rechnung"
"How can we help you ?","Wie können wir Ihnen helfen ?"
"My order","Meine Bestellung"
"Professionals","Fachleute"
"Products","Produkte"
"Other","Andere"
"This postal code does not correspond to Metropolitan France, for the French overseas departments and territories select the corresponding country.","Diese Postleitzahl entspricht nicht dem französischen Mutterland, für die französischen Überseedepartements und -gebiete wählen Sie das entsprechende Land."
"Name of the media","Medienname"
"Country","Land"
"--Please Select--","--Bitte auswählen--"
"Subscribe to the Newsletter and receive a FREE ebook of recipes","Abonnieren Sie den Newsletter und erhalten Sie ein Rezept-Ebook GRATIS"
"I agree to receive newsletters from monbento and that my data is processed in accordance with <a href='%s' target='_blank'>policy of management of the personal data</a>. I can unsubscribe at any time.","Ich bin damit einverstanden, Newsletter von monbento zu erhalten und meine Daten gemäß zu verarbeiten <a href='%s' target='_blank'>politik der Verwaltung der personenbezogenen Daten</a>. ich kann mich jederzeit abmelden."
"Informations et caractéristiques","Informationen und Eigenschaften"
"La livraison est offerte à partir de %s d'achat","Lieferung ab %s Kauf angeboten"
"At your home with DHL, against signature.","Lieferung nach Hause mit DHL, gegen Unterschrift."
"<strong>Delivery at the address of your choice.</strong>Against signature.","<strong>Lieferung nach Hause.</strong>Gegen Unterschrift.""--Please Select--","--Bitte auswählen--"
"Monbento uses cookies for the operation of its website but also for analytical and advertising purposes. By continuing on this site, you accept the use of these cookies. You can manage these settings by clicking on <a target='blank' href='%s'>more information</a>.","Monbento verwendet Cookies für die Funktionalität seiner Website, aber auch für analytische Zwecke und Werbezwecke. Durch weitere Ansicht unserer Website erklären Sie sich mit unserer Verwendung von Cookies einverstanden. Sie können diese Einstellungen verwalten, indem Sie <a target='blank' href='%s'>weitere Informationen</a> anklicken."
"I agree to receive newsletters from monbento and that my data will be processed in accordance with monbento's <a href='%s' target='_blank'>personal data management policy</a>. I can unsubscribe at any time.","Ich bin einverstanden, den Newsletter von Monbento zu erhalten und dass meine Daten entsprechend der <a href='%s' target='_blank'>Datenschutzrichtlinie von Monbento verarbeitet werden</a>. Ich kann mein Abonnement jederzeit kündigen."
"By clicking on ""Validate"", I agree that my personal data may be processed in accordance with monbento's <a href='%s' target='_blank'>personal data management policy</a>.","Durch Klicken auf « Bestätigen » erkläre ich mich einverstanden, dass meine Daten entsprechend der <a href='%s' target='_blank'>Datenschutzrichtlinie von Monbento verarbeitet werden</a>."
"I agree to receive newsletters from monbento. I can unsubscribe at any time","Ich bin einverstanden, den Newsletter von Monbento zu erhalten. Ich kann mein Abonnement jederzeit kündigen"
"Your consent is required","Ihre Zustimmung ist erforderlich"
"To know and exercise your rights concerning your data, please consult our <a href='%s' target='_blank'>Personal data management policy</a>.","Um Ihre Rechte in Bezug auf Ihre Daten zu kennen und auszuüben, konsultieren Sie bitte unsere <a href='%s' target='_blank'>Richtlinie zur Verwaltung personenbezogener Daten</a>."
"I agree that my data is processed in accordance with <a href='%s' target='_blank'>policy of management of the personal data</a>.","Ich bin damit einverstanden, dass meine Daten gemäß zu verarbeiten <a href='%s' target='_blank'>politik der Verwaltung der personenbezogenen Daten</a>."
"I agree to receive newsletters from monbento. I can unsubscribe at any time.","Ich bin einverstanden, den Newsletter von Monbento zu erhalten. Ich kann mein Abonnement jederzeit kündigen"
