"Action","Acción"
"Unable to get contacts !","¡No se pudieron obtener los contactos!"
"Update status","Actualizar el estatus"
"Use of your fidelity points","Uso de sus puntos de fidelidad"
"Use of your sponsorship points","Uso de sus puntos de patrocinio"
"Validate","Validar"
"Value","Valor"
"Voucher exchange enabled","Cambio de vales habilitado"
"Voucher exchange mail options","Opciones de vales de intecambio de correo"
"Vouchers","Vales Descuento"
"Vouchers:","Vales Descuento:"
"Waiting","Espera"
"Winning","Puntos ganados"
"You do not have active godson.","No tiene ahijados activos."
"You do not have as many points.","No tiene tanto puntos."
"You do not have yet send invit.","No tiene aún envío de invitaciones."
"You have %d points.","Dispone de %d puntos."
"You must already have purchased to sponsor.","Ya debe haber comprado al patrocinador."
"You should visit this website. It offers interesting products.","Debería visitar este sitio web. Ofrece productos interesantes."
"Your email has been successfully sent.","Su correo ha sido enviado con éxito."
"Your godsons","Sus ahijados"
"Your invitations","Sus invitados"
"Your lastest orders","Su último pedido"
"Your login:","Su identificación:"
"Your mail has not been sent, please try again later.","Su correo no ha podido ser enviado. Por favor, inténtelo más tarde."
"Your message","Su mensaje"
"Your message will be preceded by:","Su mensaje irá precedido por:"
"Your message will ends as follows:","Su mensaje finalizará como sigue:"
"Your message:","Su mensaje:"
"Your points exchanges:","Sus intercambios de puntos:"
"Your request has been submitted, you will soon receive an email confirmation.","Su solicitud ha sido enviada. En breve recibirá un correo de confirmación."
